key,contrast,estimate,SE,df,t.ratio,p.value
GSM (no. ind.),0 | 0 - 0 | 45,-0.929728848802512,0.6404863304052882,83,-1.4515982694184844,0.9310084070967678
GSM (no. ind.),30 | 15 - 30 | 30,-0.9022848033207803,0.6038563033158235,83,-1.4942044959475655,0.9177196543990169
GSM (no. ind.),30 | 15 - 45 | 0,-0.28211281018195966,0.6213946854170753,83,-0.4539993933044466,0.9999959378515386
GSM (no. ind.),30 | 15 - 60 | 0,-0.5717432052804203,0.6038563033158236,83,-0.9468199671692293,0.9969310174367401
GSM (no. ind.),30 | 30 - 45 | 0,0.6201719931388207,0.6213946854170753,83,0.9980323419125575,0.9952994904221574
GSM (no. ind.),30 | 30 - 60 | 0,0.33054159804036,0.6038563033158236,83,0.5473845287783359,0.9999761552559675
GSM (no. ind.),45 | 0 - 60 | 0,-0.28963039509846067,0.6213946854170754,83,-0.46609731607868987,0.999994779134532
GSM biomass (g),0 | 0 - 0 | 45,-0.31990900455587956,0.16227555603426103,83,-1.9713936736617164,0.6686826116458963
GSM biomass (g),0 | 0 - 0 | 60,-0.15957439253910893,0.16175999675352976,83,-0.9864885987989294,0.9957182941014937
GSM biomass (g),0 | 0 - 10 | 35,0.007992839398918483,0.1574384390514355,83,0.0507680300127163,1
GSM biomass (g),0 | 0 - 10 | 50,0.18409632177688112,0.15743843905143573,83,1.1693225802164882,0.9841158712305109
GSM biomass (g),0 | 0 - 20 | 25,-0.3409081444323319,0.16175999675352967,83,-2.10749351677947,0.575481942468826
GSM biomass (g),0 | 0 - 20 | 40,-0.014230129817759063,0.1574384390514356,83,-0.09038535889643849,0.9999999999996678
GSM biomass (g),0 | 0 - 30 | 15,-0.018641298411163354,0.15743843905143576,83,-0.11840372988627744,0.9999999999927736
GSM biomass (g),0 | 0 - 30 | 30,-0.19357883579453844,0.15743843905143565,83,-1.229552560104433,0.9771629649853288
GSM biomass (g),0 | 0 - 45 | 0,-0.08491303180126189,0.1617599967535297,83,-0.5249322051523164,0.9999839038419617
GSM biomass (g),0 | 0 - 60 | 0,-0.3153930465670889,0.1574384390514356,83,-2.0032785415514,0.647194715820247
GSM biomass (g),0 | 45 - 0 | 60,0.1603346120167706,0.1622755560342612,83,0.9880392089546697,0.9956638873415089
GSM biomass (g),0 | 45 - 10 | 35,0.32790184395479804,0.15796810319643415,83,2.0757471750296985,0.5974786751849955
GSM biomass (g),0 | 45 - 10 | 50,0.5040053263327606,0.15796810319643428,83,3.1905512323967513,0.06893763683307075
GSM biomass (g),0 | 45 - 20 | 25,-0.020999139876452383,0.1622755560342612,83,-0.12940420843185305,0.9999999999823567
GSM biomass (g),0 | 45 - 20 | 40,0.3056788747381205,0.15796810319643428,83,1.9350670708377562,0.6927479979225377
GSM biomass (g),0 | 45 - 30 | 15,0.3012677061447162,0.1579681031964343,83,1.9071426449305906,0.7108839570857004
GSM biomass (g),0 | 45 - 30 | 30,0.12633016876134112,0.15796810319643428,83,0.7997194763062313,0.9992618961352293
GSM biomass (g),0 | 45 - 45 | 0,0.23499597275461764,0.16227555603426114,83,1.4481292099532421,0.9320221909961104
GSM biomass (g),0 | 45 - 60 | 0,0.004515957988790675,0.15796810319643423,83,0.02858778384630634,1
GSM biomass (g),0 | 60 - 10 | 35,0.16756723193802742,0.15743843905143554,83,1.0643349422645303,0.9921971962555656
GSM biomass (g),0 | 60 - 10 | 50,0.34367071431599006,0.15743843905143565,83,2.182889492468302,0.5232355811037604
GSM biomass (g),0 | 60 - 20 | 25,-0.18133375189322298,0.16175999675352976,83,-1.1210049179805397,0.9883977217173978
GSM biomass (g),0 | 60 - 20 | 40,0.14534426272134987,0.15743843905143565,83,0.9231815533553749,0.9975072317551231
GSM biomass (g),0 | 60 - 30 | 15,0.14093309412794558,0.15743843905143565,83,0.8951631823655358,0.9980707127655989
GSM biomass (g),0 | 60 - 30 | 30,-0.03400444325542948,0.15743843905143567,83,-0.21598564785261948,0.999999997129585
GSM biomass (g),0 | 60 - 45 | 0,0.07466136073784706,0.16175999675352967,83,0.46155639364661344,0.9999952444425375
GSM biomass (g),0 | 60 - 60 | 0,-0.15581865402797992,0.15743843905143562,83,-0.9897116292995861,0.9956045722217792
GSM biomass (g),10 | 35 - 10 | 50,0.17610348237796264,0.15299486145685828,83,1.1510418108233038,0.9858605765663329
GSM biomass (g),10 | 35 - 20 | 25,-0.3489009838312504,0.1574384390514355,83,-2.216110537765581,0.5003883325390828
GSM biomass (g),10 | 35 - 20 | 40,-0.022222969216677546,0.15299486145685826,83,-0.14525304317455143,0.9999999999441701
GSM biomass (g),10 | 35 - 30 | 15,-0.026634137810081837,0.15299486145685826,83,-0.1740851787861658,0.9999999996618741
GSM biomass (g),10 | 35 - 30 | 30,-0.20157167519345692,0.15299486145685828,83,-1.3175061781424364,0.9631417680566364
GSM biomass (g),10 | 35 - 45 | 0,-0.09290587120018037,0.15743843905143554,83,-0.5901091992523363,0.9999520027311152
GSM biomass (g),10 | 35 - 60 | 0,-0.32338588596600737,0.1529948614568582,83,-2.113704230891417,0.5711726340332327
GSM biomass (g),10 | 50 - 20 | 25,-0.525004466209213,0.15743843905143562,83,-3.334665087969352,0.04673502374712024
GSM biomass (g),10 | 50 - 20 | 40,-0.19832645159464019,0.15299486145685834,83,-1.2962948539978547,0.9669874689860247
GSM biomass (g),10 | 50 - 30 | 15,-0.20273762018804448,0.15299486145685837,83,-1.3251269896094688,0.961683140755006
GSM biomass (g),10 | 50 - 30 | 30,-0.37767515757141956,0.15299486145685834,83,-2.4685479889657396,0.3379849543087867
GSM biomass (g),10 | 50 - 45 | 0,-0.269009353578143,0.15743843905143567,83,-1.7086637494561079,0.8268505200302355
GSM biomass (g),10 | 50 - 60 | 0,-0.49948936834396995,0.15299486145685828,83,-3.2647460417147194,0.05658293552293103
GSM biomass (g),20 | 25 - 20 | 40,0.32667801461457285,0.1574384390514356,83,2.074957148856425,0.5980250640452889
GSM biomass (g),20 | 25 - 30 | 15,0.32226684602116856,0.15743843905143565,83,2.0469387778665853,0.6173530807088528
